run_name,created_at,model,epochs,imgsz,best_map50,best_map50_95,best_map75_95,weights_path,config_path,notes
smoke_pathfix5_n26_default,2026-02-10 10:44:44,yolo26n,1,512,0.0000,0.0000,0.0000,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\smoke_pathfix5_n26_default\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\smoke_pathfix5\configs\n26_default.yaml,eval_complete
smoke_pathfix5_n26_low_conf,2026-02-10 10:46:55,yolo26n,1,512,0.0000,0.0000,0.0000,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\smoke_pathfix5_n26_low_conf\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\smoke_pathfix5\configs\n26_low_conf.yaml,eval_complete
matrix_20260210_105549_11s_base,2026-02-10 10:56:22,yolo11s,1,640,0.1093,0.0878,0.0667,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\matrix_20260210_105549_11s_base\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\matrix_20260210_105549\configs\11s_base.yaml,eval_complete
matrix_20260210_105549_n26_fast,2026-02-10 10:57:52,yolo26n,1,512,0.0000,0.0000,0.0000,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\matrix_20260210_105549_n26_fast\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\matrix_20260210_105549\configs\n26_fast.yaml,eval_complete
matrix_20260210_105549_11s_low_conf,2026-02-10 10:59:17,yolo11s,1,640,0.1093,0.0878,0.0667,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\matrix_20260210_105549_11s_low_conf\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\matrix_20260210_105549\configs\11s_low_conf.yaml,eval_complete
matrix_20260210_105549_11s_high_conf,2026-02-10 11:00:51,yolo11s,1,640,0.1093,0.0878,0.0667,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\matrix_20260210_105549_11s_high_conf\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\matrix_20260210_105549\configs\11s_high_conf.yaml,eval_complete
matrix_20260210_105549_11s_strict_nms,2026-02-10 11:02:23,yolo11s,1,640,0.1089,0.0875,0.0666,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\matrix_20260210_105549_11s_strict_nms\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\matrix_20260210_105549\configs\11s_strict_nms.yaml,eval_complete
matrix_20260210_105549_v8s_fast,2026-02-10 11:03:53,yolov8s,1,512,0.0794,0.0613,0.0432,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\matrix_20260210_105549_v8s_fast\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\matrix_20260210_105549\configs\v8s_fast.yaml,eval_complete
matrix_20260210_105549_11s_loose_nms,2026-02-10 11:05:25,yolo11s,1,640,0.1103,0.0885,0.0672,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\matrix_20260210_105549_11s_loose_nms\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\matrix_20260210_105549\configs\11s_loose_nms.yaml,eval_complete
matrix_20260210_105549_11s_no_mosaic,2026-02-10 11:06:56,yolo11s,1,640,0.0950,0.0779,0.0628,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\runs\matrix_20260210_105549_11s_no_mosaic\weights\best.pt,C:\Users\amy\Desktop\sprint\초급 프로젝트\pjt-sprint_ai07_healthcare\playground\matrix\matrix_20260210_105549\configs\11s_no_mosaic.yaml,eval_complete
